'Teste', 'Agente', 'Tipo','N maq', 'Tam Net','Max Prod', 'Media Prod','Var Prod','Max Rec',  'Media Rec', 'Var Rec','Max Wp1',  'Media Wp1', 'Var Wp1',\'Max Wp2',  'Media Wp2', 'Var Wp2','Var act1', 'Var ac2'
50,DDQN,SA,2,32,75.3404312133789,73.90239012354556,29.208630407687565,100.0,3.2455030678958074,6.947531777756594,1.0,0.9010994128286839,6.403953682596187e-05,0.998033344745636,0.8948232938349246,4.8207030644475755e-05,0.6892630646196143,0.3429919223296897
5,PPO,SA,2,32,90.82300567626953,87.33586796279671,74.08301236493752,100.0,4.3506547878070485,9.303636742017087,1.0,0.7339834281206131,0.00026440406526759047,0.9983099102973938,0.9181656044423581,3.070254791607237e-05,0.06561337022643102,0.19233761430129512
10,PPO,SA,2,32,91.09864044189453,88.23153023908044,64.65153904775765,100.0,4.544082659771894,8.964295165191675,1.0,0.7683688172996044,0.0006236200632066289,0.9980340600013733,0.9154448835849762,3.178618208780184e-05,0.3252501685189389,0.0029895097428796836
15,PPO,SA,2,32,91.09626007080078,88.43204193696685,62.160449776591584,100.0,4.384543801146349,9.29820563191704,1.0,0.7300333250761032,0.00015779908030617122,0.9980325102806091,0.917529929369688,2.371716509467691e-05,0.0,0.0
20,PPO,SA,2,32,91.08480072021484,88.40819104369552,61.733564579443964,100.0,4.410135589000108,9.280901229076107,1.0,0.7298489190638066,0.00015400675765808491,0.998031497001648,0.9173736050724983,2.687531117716935e-05,0.0,0.0
25,PPO,SA,2,32,91.11101531982422,88.42766114415555,62.22497757256417,100.0,4.47063189041966,8.966136762731743,1.0,0.7395979363918305,0.0001840165543599773,0.9980341196060181,0.917522600442171,2.5456936747754152e-05,0.17486209419028617,0.0
30,PPO,SA,2,32,91.14314270019531,88.43844914329105,62.79779059431405,100.0,4.411398326185928,9.321779238154726,1.0,0.7442823261916638,0.0003040223379377307,0.9980319738388062,0.9174976363182068,2.222187258779735e-05,0.1912137384581073,0.0
35,PPO,SA,2,32,91.11463165283203,88.42981509075707,61.72759372119189,100.0,4.4575121234292565,9.081415044612136,1.0,0.7304163433015346,0.00014755499480779342,0.998308539390564,0.9176455380916595,2.8637147045770146e-05,0.05372576080775205,0.0
40,PPO,SA,2,32,91.1392593383789,88.4960396679445,62.03555294374628,100.0,4.361012675199492,9.417796789678434,1.0,0.7310588318705559,0.00014641286424440465,0.9983111023902893,0.9182754938006401,2.7502225099481415e-05,0.06377820584959894,0.0
45,PPO,SA,2,32,91.10501861572266,88.45226158254567,62.8008393804403,100.0,4.350248815438737,9.443799053926774,1.0,0.7306505448818207,0.00015639173897455494,0.998033344745636,0.9177180497646332,2.2605611013674916e-05,0.07103844379659245,0.0
